City,Density,Population,Latitude,Longitude
Sambalpur,812830541.698065,310852,21.470400,83.970100
Shymkent,812785812.016736,465392,42.320000,69.595000
Kogon,812738033.697681,107566,39.721100,64.545800
Zibo,812648265.483807,3061000,36.800000,118.050000
Tongling,812522110.204285,562832,30.950400,117.780000
Bukhara,812519570.076398,319476,39.780000,64.430000
Fengcheng,812366843.709025,61469,28.200400,115.770000
Qala i Naw,812337915.634626,2997,34.983000,63.133300
Taraz,812337675.271735,358153,42.900000,71.365000
Indore,812334857.940072,2026000,22.715100,75.865000
Türkmenabat,812186903.675867,234817,39.110000,63.580000
Otar,812056532.368993,11238,43.534600,75.213900
Zhuozhou,812020720.653110,628000,39.540100,115.790000
Mandalay,811945540.674819,1300000,21.970000,96.085000
Shuyang,811910965.737299,1770000,34.129900,118.773400
Arys,811872140.965178,42648,42.436900,68.804800
Ürümqi,811759830.883085,2151000,43.805000,87.575000
Yishui,811750267.445495,94115,35.790400,118.620000
Larkana,811749668.675940,364033,27.561800,68.206800
Yining,811729207.747625,403489,43.900000,81.350000
Chenzhou,811677814.637392,322997,25.800400,113.030100
Sagaing,811565271.619563,78739,21.880000,95.962000
Buizhou,811524519.933287,115893,37.370400,118.020000
Bayan Obo,811448815.521290,27476,41.767600,109.971100
Huanghua,811427493.201291,120000,38.370400,117.330000
Qapshaghay,811363450.707463,42167,43.884400,77.068700
Shu,811356128.267311,42439,43.595300,73.744800
Zixing,811335094.977043,6618,25.970000,113.400000
Maanshan,811030463.277203,1366302,31.730400,118.480000
Karokh,811013556.550431,17484,34.486800,62.591800
Jian,811005111.571793,520248,27.130400,115.000000
Qaratau,810982171.124762,37881,43.185400,70.460000
Lashkar Gah,810944566.985093,201546,31.583000,64.360000
Jining,810801995.288384,281716,41.030000,113.080000
Wuhu,810756315.941284,810000,31.350400,118.370000
Zharkent,810752806.465487,36496,44.161600,79.980100
Mary,810715112.367647,178708,37.600000,61.833300
Ha Giang,810707911.772712,38362,22.833700,104.983300
Raipur,810591431.175482,875000,21.235000,81.635000
Huaiyin,810492109.887473,1264000,33.580000,119.030000
Bhilai,810388547.514448,1097000,21.216700,81.433300
Jingdezhen,810223616.781434,457298,29.270400,117.180000
Nanjing,810166451.495115,3679000,32.050000,118.780000
Herat,810109172.517263,481009,34.330000,62.170000
Shihezi,810098273.224244,573182,44.300000,86.029900
Lianyungang,809961248.108220,715600,34.600400,119.170000
Lao Chi,809767179.698551,67206,22.501400,103.966000
Myingyan,809753663.509595,163812,21.461800,95.391400
Langfang,809657674.948423,810000,39.520400,116.680000
Tianjin,809479184.997084,7180000,39.130000,117.200000
Zarafshon,809458453.933502,63543,41.582200,64.201800
Pakokku,809257125.039242,126938,21.332000,95.086600
Turkistan,809180281.542100,97360,43.301600,68.254900
Xuanhua,809129917.032256,409745,40.594400,115.024300
Linchuan,808969783.450729,241104,27.970300,116.360000
Beijing,808888711.225274,11106000,39.928900,116.388300
Tejen,808876986.630705,67294,37.378600,60.496000
Kentau,808781591.296508,57408,43.516500,68.519900
Nagpur,808541314.456557,2454000,21.170000,79.090000
Lianxian,808535165.534916,203639,24.781500,112.382500
Cao Bằng,808419051.352202,41112,22.664000,106.268000
Gandhinagar,808396187.470337,195891,23.300400,72.639900
Weifang,808294780.168732,1553000,36.720400,119.100100
Nawabshah,808233008.205580,229504,26.245400,68.400000
Torbat-e Jam,808218285.390704,104578,35.223300,60.612900
Rizhao,808208423.024793,865000,35.430400,119.450000
Zhangjiakou,808194930.745474,1046000,40.830000,114.930000
Changping,808044363.047344,614821,40.224800,116.194400
Zhucheng,808034390.338459,1060000,35.990000,119.380100
Xuanzhou,807928271.439093,866000,30.952500,118.755300
Cuttack,807735576.724869,580000,20.470000,85.889900
Kaka,807650987.129046,38381,37.350300,59.600000
Taldyqorghan,807647247.397491,88380,45.000000,78.400000
Mirput Khas,807434753.805367,356435,25.531800,69.011800
Farah,807391417.886776,73647,32.391700,62.096800
Yangzhou,807382474.918662,539715,32.400000,119.430000
Shangdu,807373225.781825,18831,41.549400,113.533900
Mashhad,807338074.156819,2469000,36.270000,59.570000
Dalandzadgad,807197132.081236,15093,43.583600,104.440300
Zhenjiang,807128419.121411,854000,32.220000,119.430000
